STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
476620,99999,20170101,46,24,31.4,24,1022.3,24,1019.3,24,16.9,7,3.6,24,6,999.9,56.8,35.6, 0.00G,999.9,0,jp
476620,99999,20170102,45,24,34,24,1014.4,24,1011.5,24,12.9,7,2.6,24,6,999.9,55.9,38.8, 0.00G,999.9,0,jp
476620,99999,20170103,46.8,24,28,24,1015.7,24,1012.8,24,16,7,4.4,24,9.9,999.9,56.7,38.3, 0.00G,999.9,0,jp
476620,99999,20170104,47.7,24,25.3,24,1014.3,24,1011.3,24,12.9,7,6.7,24,11.1,999.9,57.2,38.5, 0.00G,999.9,0,jp
476620,99999,20170105,42,24,21,24,1021,24,1018,24,16.9,7,8.2,24,14,999.9,50.7,  35.1*, 0.00G,999.9,0,jp
476620,99999,20170106,39.4,24,21.9,24,1024.2,24,1021.2,24,16.9,7,4.1,24,7,999.9,47.8,  33.4*, 0.00G,999.9,0,jp
476620,99999,20170107,40.1,24,25.7,24,1020.3,24,1017.3,24,15.1,7,3.3,24,5.1,999.9,47.7,32.2, 0.00G,999.9,0,jp
476620,99999,20170108,40.8,24,36.3,24,1007.4,24,1004.5,24,6,7,8.2,24,14,999.9,   44.2*,34.9, 0.00G,999.9,10000,jp
476620,99999,20170109,45.2,24,37.9,24,1005.4,24,1002.5,24,13.3,7,4.4,24,7,999.9,52,  38.8*, 0.98G,999.9,10000,jp
476620,99999,20170110,46.5,24,30.5,24,1009.4,24,1006.5,24,16.9,7,4.8,24,8,999.9,54.9,38.3, 0.04G,999.9,0,jp
476620,99999,20170111,42.3,24,24.2,24,1009.4,24,1006.5,24,17.8,7,3.9,24,7,999.9,   50.4*,  34.0*, 0.00G,999.9,0,jp
476620,99999,20170112,43.2,24,25.7,24,1003.6,24,1000.6,24,16.4,7,3.2,24,5.1,999.9,53.8,33.3, 0.00G,999.9,0,jp
476620,99999,20170113,42.4,24,25.7,24,1001.4,24,998.5,24,13.3,7,3.8,24,8,999.9,54.9,  31.6*, 0.00G,999.9,0,jp
476620,99999,20170114,34.8,24,15.7,24,1003.8,24,1000.8,24,15.1,7,6.3,24,12,999.9,43.3,  28.6*, 0.00G,999.9,0,jp
476620,99999,20170115,33.4,24,16.7,24,1010.2,24,1007.2,24,15.5,7,5,24,11.1,999.9,40.5,27.9, 0.00G,999.9,0,jp
476620,99999,20170116,39.5,24,21.6,24,1014.1,24,1011.1,24,17.8,7,6.6,24,11.1,999.9,46.4,28, 0.00G,999.9,0,jp
476620,99999,20170117,42,24,25.9,24,1025.9,24,1022.8,24,17.8,7,4.6,24,8.9,999.9,51.6,33.3, 0.00G,999.9,0,jp
476620,99999,20170118,43.8,22,28.2,22,1023.6,22,1020.6,22,14,6,5.4,22,7,999.9,50.5,34, 0.00G,999.9,0,jp
476620,99999,20170119,42.4,24,23.3,24,1017.4,24,1014.4,24,13.3,7,5.8,24,12,999.9,51.6,  36.5*, 0.00G,999.9,0,jp
476620,99999,20170120,37.7,24,29,24,1007.4,24,1004.4,24,8.4,7,5.1,24,8,999.9,   39.4*,  34.3*, 0.00G,999.9,10000,jp
476620,99999,20170121,42.3,24,23,24,1018.6,24,1015.6,24,17.8,7,7.1,24,17.1,999.9,51.8,34.2, 0.00G,999.9,0,jp
476620,99999,20170122,43.4,24,23.4,24,1009.4,24,1006.5,24,13.3,7,5.9,24,11.1,999.9,55.2,33.6, 0.00G,999.9,0,jp
476620,99999,20170123,37.1,24,9.8,24,1015,24,1012,24,15.5,7,7.7,24,12,999.9,46.2,  29.8*, 0.00G,999.9,0,jp
476620,99999,20170124,36.7,24,11.3,24,1021.8,24,1018.8,24,16.9,7,6.9,24,12,999.9,45.9,28.6, 0.00G,999.9,0,jp
476620,99999,20170125,39.1,24,15.4,24,1026.5,24,1023.5,24,17.8,7,6,24,12,999.9,   48.4*,29.8, 0.00G,999.9,0,jp
476620,99999,20170126,42.7,24,24.8,24,1025.6,24,1022.6,24,16.9,7,4.3,24,8,999.9,51.3,29.5, 0.00G,999.9,0,jp
476620,99999,20170127,48.9,24,30.5,24,1018.8,24,1015.8,24,14.2,7,6.1,24,13,999.9,60.8,34.5, 0.00G,999.9,0,jp
476620,99999,20170128,46.7,24,29.1,24,1023.9,24,1021,24,14.2,7,4,24,7,999.9,56.5,40.3, 0.00G,999.9,0,jp
476620,99999,20170129,47.6,24,39,24,1014.7,24,1011.7,24,10.2,7,2.6,24,6,999.9,53.6,40.6, 0.00G,999.9,10000,jp
476620,99999,20170130,49.7,23,30.1,23,1007.2,23,1004.3,23,11.9,6,8.6,23,13,999.9,67.1,  37.4*, 0.00G,999.9,0,jp
476620,99999,20170131,42.2,24,17.5,24,1020.4,24,1017.4,24,16.9,7,6.6,24,11.1,999.9,50,  36.3*, 0.00G,999.9,0,jp
476620,99999,20170201,42.1,24,19.7,24,1011.5,24,1008.5,24,15.1,7,7,24,13,999.9,51.1,  35.1*, 0.00G,999.9,0,jp
476620,99999,20170202,41.3,24,14.8,24,1013.1,24,1010.1,24,16,7,7,24,15.9,999.9,49.5,33.6, 0.00G,999.9,0,jp
476620,99999,20170203,46.1,24,19.7,24,1017.3,24,1014.3,24,17.3,7,8.8,24,13,999.9,56.7,33.8, 0.00G,999.9,0,jp
476620,99999,20170204,46.5,24,24.7,24,1017.9,24,1014.9,24,17.8,7,4.6,24,8.9,999.9,56.1,  38.8*, 0.00G,999.9,0,jp
476620,99999,20170205,45.5,24,33.9,24,1004.8,24,1001.9,24,8.4,7,3.3,24,8,999.9,49.8,38.1, 0.00G,999.9,10000,jp
476620,99999,20170206,46.5,24,23.9,24,1004.1,24,1001.2,24,14.6,7,9.3,24,15,999.9,60.3,37.9, 0.00G,999.9,10000,jp
476620,99999,20170207,41.6,24,11.8,24,1012.6,24,1009.6,24,14.6,7,9.1,24,17.1,999.9,50,36, 0.00G,999.9,0,jp
476620,99999,20170208,43.3,24,20.9,24,1011.9,24,1009,24,15.5,7,5.8,24,11.1,999.9,51.8,  34.3*, 0.00G,999.9,11000,jp
476620,99999,20170209,35.9,24,34.9,24,999.6,24,996.6,24,3.9,7,5.4,24,8.9,999.9,37.6,  33.8*, 0.00G,999.9,10000,jp
476620,99999,20170210,38.4,24,19.5,24,1003.1,24,1000.1,24,10.8,7,7.3,24,15.9,999.9,48.7,  30.0*, 0.33G,999.9,11000,jp
476620,99999,20170211,40,24,13.7,24,1009.7,24,1006.7,24,16,7,5.1,24,8.9,999.9,50.2,29.1, 0.00G,999.9,0,jp
476620,99999,20170212,41.6,24,19.4,24,1018.2,24,1015.2,24,15.5,7,8.4,24,12,999.9,52.2,31.3, 0.00G,999.9,0,jp
476620,99999,20170213,43.8,24,17.2,24,1022.5,24,1019.5,24,16.9,7,5.9,24,11.1,999.9,53.2,33.8, 0.00G,999.9,0,jp
476620,99999,20170214,42.6,24,17.7,24,1023.5,24,1020.5,24,17.8,7,6.8,24,11.1,999.9,53.2,  35.1*, 0.00G,999.9,0,jp
476620,99999,20170215,44,24,20.4,24,1025.4,24,1022.4,24,17.8,7,5.4,24,8.9,999.9,55,34.2, 0.00G,999.9,0,jp
476620,99999,20170216,47.7,24,34.1,24,1021.1,24,1018.1,24,12.4,7,4.5,24,8.9,999.9,   57.4*,34.3, 0.00G,999.9,0,jp
476620,99999,20170217,56,24,37.3,24,1010.3,24,1007.4,24,10.7,7,10.3,24,17.1,999.9,69.1,40.6, 0.00G,999.9,0,jp
476620,99999,20170218,43.6,24,24.6,24,1012.5,24,1009.6,24,11.1,7,6.3,24,15.9,999.9,51.3,  35.6*, 0.00G,999.9,0,jp
476620,99999,20170219,43.4,24,21.3,24,1014.6,24,1011.7,24,17.8,7,5,24,11.1,999.9,52.7,34.9, 0.00G,999.9,0,jp
476620,99999,20170220,50.9,24,36.5,24,1001.7,24,998.8,24,10.3,7,10.3,24,18.1,999.9,67.5,35.2, 0.00G,999.9,10000,jp
476620,99999,20170221,41.3,24,16.3,24,1022.3,24,1019.2,24,16.4,7,9.3,24,17.1,999.9,49.8,  34.9*, 0.26G,999.9,0,jp
476620,99999,20170222,50.1,24,38.5,24,1017.1,24,1014.2,24,13.3,7,8.4,24,12,999.9,   57.2*,34, 0.00G,999.9,0,jp
476620,99999,20170223,51.2,24,35.1,24,1001.7,24,998.8,24,9.1,7,8.5,24,13,999.9,61.3,  41.5*, 0.00G,999.9,11000,jp
476620,99999,20170224,44.3,24,17.8,24,1015.5,24,1012.5,24,15.1,7,5.9,24,13,999.9,52.3,  38.7*, 0.02G,999.9,0,jp
476620,99999,20170225,45.6,24,34.1,24,1016.9,24,1013.9,24,14.2,7,4.6,24,7,999.9,   53.2*,38.3, 0.00G,999.9,0,jp
476620,99999,20170226,48.1,24,29.4,24,1020.1,24,1017.2,24,12.9,7,4.5,24,7,999.9,57.6,37.9, 0.00G,999.9,0,jp
476620,99999,20170227,41.7,24,29.8,24,1025.9,24,1022.9,24,12.4,7,5.1,24,8,999.9,49.5,  37.9*, 0.00G,999.9,0,jp
476620,99999,20170228,41.3,24,30,24,1024.7,24,1021.7,24,12.4,7,4.7,24,8,999.9,50.2,  35.1*, 0.00G,999.9,0,jp
476620,99999,20170301,45.4,24,38.4,24,1017.9,24,1014.9,24,7.1,7,3.5,24,6,999.9,52,34.5, 0.00G,999.9,10000,jp
476620,99999,20170302,43.8,24,42.5,24,1005.2,24,1002.3,24,4.2,7,4.3,24,9.9,999.9,47.7,  39.7*, 0.31G,999.9,10000,jp
476620,99999,20170303,47.4,24,25.6,24,1014.4,24,1011.5,24,15.5,7,5.8,24,9.9,999.9,60.8,  38.3*, 0.24G,999.9,0,jp
476620,99999,20170304,48.8,24,34.5,24,1016.7,24,1013.8,24,11.5,7,4.8,24,8,999.9,58.3,37.4, 0.00G,999.9,0,jp
476620,99999,20170305,52,24,40.6,24,1012.1,24,1009.1,24,9.8,7,4.4,24,8.9,999.9,60.6,40.8, 0.00G,999.9,0,jp
