STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Country
161580,99999,20170101,38.7,24,33.2,24,9999.9,0,9999.9,0,6.3,16,4.5,24,8.9,999.9,   48.2*,26.6, 0.00F,999.9,10000,it
161580,99999,20170102,47.4,24,45.3,24,9999.9,0,9999.9,0,4.6,24,6.3,24,15.9,999.9,   55.4*,37.4, 0.69F,999.9,10000,it
161580,99999,20170103,49,24,38.1,24,9999.9,0,9999.9,0,6.2,16,9.9,24,18.1,22.9,   55.4*,  35.6*, 0.04F,999.9,10010,it
161580,99999,20170104,39.1,24,33.6,24,9999.9,0,9999.9,0,6.4,14,3.2,24,6,999.9,46.4,29.8, 0.00F,999.9,0,it
161580,99999,20170105,43.5,24,16.9,24,9999.9,0,9999.9,0,6.2,11,8.9,24,15.9,999.9,51.8,35.6, 0.00F,999.9,0,it
161580,99999,20170106,36.7,24,12.9,24,9999.9,0,9999.9,0,999.9,0,6.2,24,9.9,999.9,43.5,28.4, 0.00F,999.9,0,it
161580,99999,20170107,33.2,24,19.1,24,9999.9,0,9999.9,0,6.2,18,7.5,24,12,999.9,39.6,28.4, 0.00F,999.9,0,it
161580,99999,20170108,37.4,24,22.7,24,9999.9,0,9999.9,0,6.3,21,8.9,24,15.9,999.9,   42.8*,30.2, 0.00F,999.9,0,it
161580,99999,20170109,33.9,24,27.3,24,9999.9,0,9999.9,0,6.2,10,3.6,24,6,999.9,47.3,23.7, 0.00F,999.9,0,it
161580,99999,20170110,37.3,24,25.5,24,9999.9,0,9999.9,0,6.2,19,11.8,24,15.9,999.9,44.6,28.4, 0.00F,999.9,0,it
161580,99999,20170111,36.3,24,23.4,24,9999.9,0,9999.9,0,6.4,9,7.1,24,13,999.9,   44.6*,  28.4*, 0.00F,999.9,0,it
161580,99999,20170112,41.7,24,36.3,24,9999.9,0,9999.9,0,5.9,24,4.5,24,9.9,999.9,45.5,34.5, 0.00F,999.9,10000,it
161580,99999,20170113,50.2,24,36.2,24,9999.9,0,9999.9,0,5.9,24,15.6,24,27,40,57.2,41.7, 0.17F,999.9,10000,it
161580,99999,20170114,39.3,24,24.7,24,9999.9,0,9999.9,0,6.5,5,5.5,24,9.9,999.9,50,  28.4*, 0.00F,999.9,0,it
161580,99999,20170115,40.8,24,25.3,24,9999.9,0,9999.9,0,6.4,6,8,24,17.1,27,   50.0*,32, 0.00F,999.9,0,it
161580,99999,20170116,39.2,24,18.5,24,9999.9,0,9999.9,0,6.2,13,7.6,24,13,22,45.3,32, 0.00F,999.9,0,it
161580,99999,20170117,40.1,24,22.2,24,9999.9,0,9999.9,0,6.2,24,11.8,24,19,31.1,44.6,  35.6*, 0.00F,999.9,0,it
161580,99999,20170118,42,23,24.4,23,9999.9,0,9999.9,0,6.2,23,8.4,23,17.1,22.9,45.5,37.4, 0.00F,999.9,0,it
161580,99999,20170119,41.2,24,27.6,24,9999.9,0,9999.9,0,6.3,14,11,24,19,999.9,48.9,  37.4*, 0.00F,999.9,0,it
161580,99999,20170120,41.6,24,28.1,24,9999.9,0,9999.9,0,999.9,0,11.8,24,15.9,999.9,51.1,  35.6*, 0.00F,999.9,0,it
161580,99999,20170121,43.2,24,31.2,24,9999.9,0,9999.9,0,999.9,0,11.2,24,15,999.9,51.8,34.7, 0.00F,999.9,0,it
161580,99999,20170122,48.1,24,33.1,24,9999.9,0,9999.9,0,6.2,24,12.9,24,20,25.1,53.6,40.1, 0.00F,999.9,10000,it
161580,99999,20170123,49.9,24,35.6,24,9999.9,0,9999.9,0,6.3,20,10.4,24,14,999.9,56.8,  44.6*, 0.00F,999.9,0,it
161580,99999,20170124,49,24,34.6,24,9999.9,0,9999.9,0,6.2,22,6.5,24,13,999.9,59.7,41, 0.00F,999.9,0,it
161580,99999,20170125,45.5,24,27.5,24,9999.9,0,9999.9,0,6.2,4,7.7,24,12,999.9,59,37.4, 0.00F,999.9,0,it
161580,99999,20170126,42.3,24,27.9,24,9999.9,0,9999.9,0,999.9,0,7.2,24,15,999.9,55.4,  30.2*, 0.00F,999.9,0,it
161580,99999,20170127,43.4,24,34.5,24,9999.9,0,9999.9,0,6.3,24,5.3,24,13,999.9,53.6,35.6, 0.00F,999.9,0,it
161580,99999,20170128,46.9,24,36.7,24,9999.9,0,9999.9,0,6.2,24,7.4,24,15,999.9,56.1,37.4, 0.00F,999.9,0,it
161580,99999,20170129,43.5,24,36.5,24,9999.9,0,9999.9,0,5.7,9,5.2,24,9.9,999.9,59.9,33.8, 0.00F,999.9,0,it
161580,99999,20170130,42.2,24,40.4,24,9999.9,0,9999.9,0,4.2,24,4.1,24,8.9,999.9,50,33.8, 0.39F,999.9,10000,it
161580,99999,20170131,48.9,24,46.8,24,9999.9,0,9999.9,0,4.5,24,4.1,24,8.9,999.9,53.6,42.8, 0.39F,999.9,10000,it
161580,99999,20170201,52.2,24,49.8,24,9999.9,0,9999.9,0,6,24,3.7,24,9.9,999.9,57.6,50, 0.08F,999.9,10000,it
161580,99999,20170202,52.9,24,50.7,24,9999.9,0,9999.9,0,6.1,24,4.9,24,8,999.9,   57.2*,50, 0.08F,999.9,10000,it
161580,99999,20170203,54.5,24,51,24,9999.9,0,9999.9,0,6.2,24,7.9,24,15,999.9,61.7,48.9, 0.03F,999.9,10010,it
161580,99999,20170204,52.8,24,49.1,24,9999.9,0,9999.9,0,6,24,10,24,22,999.9,57.2,  48.2*, 0.59F,999.9,10000,it
161580,99999,20170205,52.6,24,50.5,24,9999.9,0,9999.9,0,5.6,24,6.4,24,13,999.9,55.4,  50.0*, 1.26F,999.9,10010,it
161580,99999,20170206,48.3,24,45.6,24,9999.9,0,9999.9,0,6.2,24,2.5,24,7,999.9,53.6,  44.6*, 0.13F,999.9,10000,it
161580,99999,20170207,50.1,24,40.5,24,9999.9,0,9999.9,0,6.2,21,4.6,24,9.9,999.9,59.4,  44.6*, 0.00F,999.9,0,it
161580,99999,20170208,48.8,24,36.5,24,9999.9,0,9999.9,0,6.3,24,9.5,24,14,999.9,55.4,42.8, 0.00F,999.9,0,it
161580,99999,20170209,48.1,24,31.7,24,9999.9,0,9999.9,0,6.3,24,11.9,24,18.1,999.9,51.8,  44.6*, 0.00F,999.9,0,it
161580,99999,20170210,46.9,24,37.9,24,9999.9,0,9999.9,0,6.3,19,7.8,24,12,999.9,55.4,  41.0*, 0.00F,999.9,0,it
161580,99999,20170211,46.4,24,40.1,24,9999.9,0,9999.9,0,6.3,15,4.8,24,11.1,999.9,59.7,37.4, 0.00F,999.9,0,it
161580,99999,20170212,51.4,24,43.4,24,9999.9,0,9999.9,0,6.3,24,6.2,24,12,999.9,62.6,41, 0.00F,999.9,0,it
161580,99999,20170213,50.4,24,42.7,24,9999.9,0,9999.9,0,6.2,24,6.1,24,14,999.9,62.6,41.9, 0.00F,999.9,0,it
161580,99999,20170214,50,24,39.4,24,9999.9,0,9999.9,0,6.4,7,8.7,24,14,999.9,60.8,  42.8*, 0.00F,999.9,0,it
161580,99999,20170215,45,24,37.2,24,9999.9,0,9999.9,0,999.9,0,4,24,8,999.9,59,  33.8*, 0.00F,999.9,100000,it
161580,99999,20170216,46.4,24,43.1,24,9999.9,0,9999.9,0,5.7,22,3.2,24,5.1,999.9,57.6,33.8, 0.00F,999.9,0,it
161580,99999,20170217,53.2,24,49.8,24,9999.9,0,9999.9,0,5.9,24,6.9,24,14,999.9,59,  48.2*, 0.00F,999.9,10000,it
161580,99999,20170218,51.3,24,41.9,24,9999.9,0,9999.9,0,5.1,11,6.1,24,12,999.9,60.1,  42.8*, 0.47F,999.9,110000,it
161580,99999,20170219,45.3,24,36.4,24,9999.9,0,9999.9,0,999.9,0,4.2,24,8,999.9,58.1,33.8, 0.00F,999.9,0,it
161580,99999,20170220,46.2,24,40.8,24,9999.9,0,9999.9,0,6.2,19,4.9,24,11.1,999.9,57.6,36.7, 0.00F,999.9,0,it
161580,99999,20170221,46.1,24,42.8,24,9999.9,0,9999.9,0,5.9,24,4.4,24,9.9,999.9,58.3,38.3, 0.00F,999.9,0,it
161580,99999,20170222,48.2,24,45.1,24,9999.9,0,9999.9,0,4.9,23,3.4,24,6,999.9,58.1,37.4, 0.00F,999.9,110000,it
161580,99999,20170223,52.3,24,49.4,24,9999.9,0,9999.9,0,4.9,24,2.6,24,8.9,999.9,59.7,46.4, 0.02F,999.9,100000,it
161580,99999,20170224,52.7,24,51.2,24,9999.9,0,9999.9,0,4.9,24,3.9,24,9.9,999.9,57.2,48.2, 0.47F,999.9,10000,it
161580,99999,20170225,52.3,24,31.9,24,9999.9,0,9999.9,0,6,10,10.2,24,17.1,29.9,60.4,  42.8*, 0.24F,999.9,10000,it
161580,99999,20170226,46.6,24,33.2,24,9999.9,0,9999.9,0,999.9,0,3.5,24,8.9,999.9,58.6,  35.6*, 0.00F,999.9,0,it
